Region,Product,UnitOfMeasure,UnitPrice,Category,Notes,SKU_ID,Price
us-central1,N1 Predefined Instance Ram running in Americas,gibibyte hour,0.004237,CPU,GCP的Cost項目是列在Compute Engine下,skus/6C71-E844-38BC,0.004237
sharedservice,Download APAC,gibibyte,0.08,Network,"GCP的Cost項目是列在Cloud Storage下: 
0.00 USD (Free) per 1 gibibyte, for 0 byte to 100 gibibyte, per 1 month per account; 
0.12 USD per 1 gibibyte, for 100 gibibyte to 1 tebibyte, per 1 month per account; 
0.11 USD per 1 gibibyte, for 1 tebibyte to 10 tebibyte, per 1 month per account; 
0.08 USD per 1 gibibyte, for 10 tebibyte and above, per 1 month per account",skus/1F8B-71B0-3D1B,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '100'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 120000000}}, {'startAmount': {'value': '1024'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 110000000}}, {'startAmount': {'value': '10240'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 80000000}}]"
sharedservice,GCP Storage Data Transfer between Northern America and Asia,gibibyte,0.08,Network,"GCP的Cost項目是列在Cloud Storage下: 
0.00 USD (Free) per 1 gibibyte, for 0 byte to 100 gibibyte, per 1 month per account; 
0.08 USD per 1 gibibyte, for 10 gibibyte and above, per 1 month per account",skus/6B37-399C-BF69,"[{'startAmount': {'value': '0'}, 'listPrice': {'currencyCode': 'USD'}}, {'startAmount': {'value': '100'}, 'listPrice': {'currencyCode': 'USD', 'nanos': 80000000}}]"
us-central1,NetApp Volumes Capacity Extreme Iowa,gibibyte month,0.3927,Storage,,skus/B645-B247-3F7B,0.3927
asia-southeast1,NetApp Volumes Capacity Extreme Singapore,gibibyte month,0.3927,Storage,,skus/EAFC-1E79-89AD,0.3927
us-central1,NetApp Volumes Capacity Premium Iowa,gibibyte month,0.2942,Storage,,skus/5BCD-5BCB-41A3,0.2942
us-central1,NetApp Volumes Capacity Standard Iowa,gibibyte month,0.2,Storage,,skus/C2DF-4710-FFE1,0.2
us-west4,NetApp Volumes Capacity Extreme Las Vegas,gibibyte month,0.4516,Storage,,skus/B45A-6838-D15F,0.4516
us-west2,NetApp Volumes Capacity Standard Los Angeles,gibibyte month,0.23,Storage,,skus/D169-96BC-C3BA,0.23
us-west2,NetApp Volumes Capacity Extreme Los Angeles,gibibyte month,0.4516,Storage,,skus/0D0F-AD87-36CF,0.4516
